id,question,answer,prompt,label
wiki_50,"Mandel Bruce ""Mandy"" Patinkin (born November 30, 1952) is an American actor and tenor singer.",,"Mandel Bruce ""Mandy"" Patinkin (born November 30, 1952) is an American actor and tenor singer.",control
wiki_51,Daayan (English: Witch) is an Indian supernatural drama series.,,Daayan (English: Witch) is an Indian supernatural drama series.,control
wiki_52,Appetite for Destruction is the first studio album by American hard rock band Guns N' Roses.,,Appetite for Destruction is the first studio album by American hard rock band Guns N' Roses.,control
wiki_53,"Saint-Simon, Aisne is a commune.",,"Saint-Simon, Aisne is a commune.",control
wiki_54,"East Tyrol (German: Osttirol) is a small part of the Austrian state of Tyrol, located in the ost part of the state.",,"East Tyrol (German: Osttirol) is a small part of the Austrian state of Tyrol, located in the ost part of the state.",control
wiki_55,Surbourg is a commune.,,Surbourg is a commune.,control
wiki_56,"Hiroki Hattori (born 30 August 1971) is a former Japanese football player.

Club career statistics

|-
|1994||rowspan=""5""|Yokohama Flügels||rowspan=""5""|J.",,"Hiroki Hattori (born 30 August 1971) is a former Japanese football player.

Club career statistics

|-
|1994||rowspan=""5""|Yokohama Flügels||rowspan=""5""|J.",control
wiki_57,"The Villains of Valley View is an American comedy television series created by Chris Peterson and Bryan Moore that premiered on Disney Channel on June 3, 2022.",,"The Villains of Valley View is an American comedy television series created by Chris Peterson and Bryan Moore that premiered on Disney Channel on June 3, 2022.",control
wiki_58,"Pope Paul II (;  23 February 1417 – 26 July 1471), born Pietro Barbo,  was an Italian priest of the Roman Catholic Church and the 212th Pope from 1464 until his death in 1471.

Early life  
Pietro Barbo was born in Venice.",,"Pope Paul II (;  23 February 1417 – 26 July 1471), born Pietro Barbo,  was an Italian priest of the Roman Catholic Church and the 212th Pope from 1464 until his death in 1471.

Early life  
Pietro Barbo was born in Venice.",control
wiki_59,"Jerry Pinkney (December 22, 1939 – October 20, 2021) was an American illustrator and writer of children's books.",,"Jerry Pinkney (December 22, 1939 – October 20, 2021) was an American illustrator and writer of children's books.",control
wiki_60,Tropical Storm Alma was a tropical cyclone in the 2008 Pacific hurricane season.,,Tropical Storm Alma was a tropical cyclone in the 2008 Pacific hurricane season.,control
wiki_61,The District of Vila Real ( ) is a district of northern Portugal.,,The District of Vila Real ( ) is a district of northern Portugal.,control
wiki_62,Armstrong is a city in Emmet County of the state of Iowa in the United States.,,Armstrong is a city in Emmet County of the state of Iowa in the United States.,control
wiki_63,Alincthun is a commune.,,Alincthun is a commune.,control
wiki_64,Chinese Canadians are Canadians that come from China or have ancestors that came from China.,,Chinese Canadians are Canadians that come from China or have ancestors that came from China.,control
wiki_65,"Getúlio () is a 2014 Brazilian drama movie directed by João Jardim and starring Tony Ramos, Drica Moraes and Alexandre Borges.

The stroy tells about the final moments of the crisis that led to the suicide of the then President Getúlio Vargas, in August 1954.

President Vargas has to confront with the increasing instability of his government, after the trying murder of journalist Carlos Lacerda.

Other websites

2014 drama movies
Brazilian movies
Movies about suicide.",,"Getúlio () is a 2014 Brazilian drama movie directed by João Jardim and starring Tony Ramos, Drica Moraes and Alexandre Borges.

The stroy tells about the final moments of the crisis that led to the suicide of the then President Getúlio Vargas, in August 1954.

President Vargas has to confront with the increasing instability of his government, after the trying murder of journalist Carlos Lacerda.

Other websites

2014 drama movies
Brazilian movies
Movies about suicide.",control
wiki_66,The 2010 Pakistan floods began on 26 July 2010 and continued into the following month.,,The 2010 Pakistan floods began on 26 July 2010 and continued into the following month.,control
wiki_67,"""The One"" is a 1992 song by Elton John and is the title track to his 23rd studio album The One.",,"""The One"" is a 1992 song by Elton John and is the title track to his 23rd studio album The One.",control
wiki_68,"François Rabelais  (circa 1483-1553) was a French Renaissance writer, physician,  humanist, monk and Greek scholar.",,"François Rabelais  (circa 1483-1553) was a French Renaissance writer, physician,  humanist, monk and Greek scholar.",control
wiki_69,Lili tree frog (Myersiohyla liliae) is a frog.,,Lili tree frog (Myersiohyla liliae) is a frog.,control
wiki_70,"Vinton Gray ""Vint"" Cerf (; born June 23, 1943) is an American internet pioneer.",,"Vinton Gray ""Vint"" Cerf (; born June 23, 1943) is an American internet pioneer.",control
wiki_71,"This is a list of Guernsey Twenty20 International cricketers.

Key

List of players
Statistics are correct as of 21 May 2022.

References 

Lists of Twenty20 International cricketers.",,"This is a list of Guernsey Twenty20 International cricketers.

Key

List of players
Statistics are correct as of 21 May 2022.

References 

Lists of Twenty20 International cricketers.",control
wiki_72,"Doxing is the process of finding or uncovering personal information about a person, group, organization or corporate entity.",,"Doxing is the process of finding or uncovering personal information about a person, group, organization or corporate entity.",control
wiki_73,"Carlos Sablan Camacho (born February 27, 1937) was the first elected Governor of the Commonwealth of the Northern Mariana Islands, a commonwealth of the United States.",,"Carlos Sablan Camacho (born February 27, 1937) was the first elected Governor of the Commonwealth of the Northern Mariana Islands, a commonwealth of the United States.",control
wiki_74,The Belokurikha is a river in Russia.,,The Belokurikha is a river in Russia.,control
wiki_75,"An index is a system used to make finding information easier.

Index could also mean:

 Index (publishing), a detailed list, usually arranged alphabetically, of the specific information in a publication
 Index cards in a rolodex or old card catalog, early and mid 20th century technologies for maintaining such lists
 Index (mathematics), for various meanings of the word in mathematics
 Index (economics), a single number calculated from an array of prices and quantities.
 Index, Washington, a town in Snohomish County, Washington, United States.
 Index (typography), a largely obsolete punctuation mark 

In publications:
 Index Librorum Prohibitorum, a list of publications which the Catholic Church censored
 Germany's List of Media Harmful to Young People, colloquially known as The Index, published by the Bundesprüfstelle für jugendgefährdende Medien
 Index Magazine, was a prominent New York City based publication for art and culture.
 Truman State University Index, the weekly newspaper distributed at Truman State University and throughout the Kirksville, Missouri community.
 The Index, the student newspaper of Kalamazoo College, published since 1877.
 The Index (journal), a European propaganda journal created by Henry Hotze to support the Confederate States of America during the American Civil War.

In computers and information retrieval:
 Index (database), a feature in a computerized database which allows quick access to the rows in a table
 Index (information technology), in computer science, either an integer which identifies an array element, or a data structure which enables fast lookup
 Index (search engine), for supporting information retrieval in search engines
 Webserver directory index, a default or index web page in a directory on a web server, such as index.html
 Subject indexing, describing the content of a document by keywords

Other:
 The Index, an item on the Halo (megastructure) in the Halo series of video games.
 The Index (skyscraper), a tower under construction in Dubai.
 Index (retailer), a defunct UK catalogue retailer formerly owned by the Littlewoods group and known as Littlewoods Index
 Index finger, The second digit of a human hand is also referred to as the index finger, pointer finger, forefinger, digitus secundus, or digitus II.
 Index fund, a collective investment scheme
 Indexicality, in linguistics, the variation of meaning of an utterance according to certain features of the context in which it is uttered.",,"An index is a system used to make finding information easier.

Index could also mean:

 Index (publishing), a detailed list, usually arranged alphabetically, of the specific information in a publication
 Index cards in a rolodex or old card catalog, early and mid 20th century technologies for maintaining such lists
 Index (mathematics), for various meanings of the word in mathematics
 Index (economics), a single number calculated from an array of prices and quantities.
 Index, Washington, a town in Snohomish County, Washington, United States.
 Index (typography), a largely obsolete punctuation mark 

In publications:
 Index Librorum Prohibitorum, a list of publications which the Catholic Church censored
 Germany's List of Media Harmful to Young People, colloquially known as The Index, published by the Bundesprüfstelle für jugendgefährdende Medien
 Index Magazine, was a prominent New York City based publication for art and culture.
 Truman State University Index, the weekly newspaper distributed at Truman State University and throughout the Kirksville, Missouri community.
 The Index, the student newspaper of Kalamazoo College, published since 1877.
 The Index (journal), a European propaganda journal created by Henry Hotze to support the Confederate States of America during the American Civil War.

In computers and information retrieval:
 Index (database), a feature in a computerized database which allows quick access to the rows in a table
 Index (information technology), in computer science, either an integer which identifies an array element, or a data structure which enables fast lookup
 Index (search engine), for supporting information retrieval in search engines
 Webserver directory index, a default or index web page in a directory on a web server, such as index.html
 Subject indexing, describing the content of a document by keywords

Other:
 The Index, an item on the Halo (megastructure) in the Halo series of video games.
 The Index (skyscraper), a tower under construction in Dubai.
 Index (retailer), a defunct UK catalogue retailer formerly owned by the Littlewoods group and known as Littlewoods Index
 Index finger, The second digit of a human hand is also referred to as the index finger, pointer finger, forefinger, digitus secundus, or digitus II.
 Index fund, a collective investment scheme
 Indexicality, in linguistics, the variation of meaning of an utterance according to certain features of the context in which it is uttered.",control
wiki_76,"Black Holes and Revelations is the fourth album from the British alternative rock band, Muse.",,"Black Holes and Revelations is the fourth album from the British alternative rock band, Muse.",control
wiki_77,Rūsiņš Mārtiņš Freivalds (10 November 1942 – 4 January 2016) was a Latvian computer scientist and mathematician.,,Rūsiņš Mārtiņš Freivalds (10 November 1942 – 4 January 2016) was a Latvian computer scientist and mathematician.,control
wiki_78,"ɫṲ

This is a list of the highest mountains in the world.",,"ɫṲ

This is a list of the highest mountains in the world.",control
wiki_79,"Claire Catherine Danes (born April 12, 1979) is an American actress.",,"Claire Catherine Danes (born April 12, 1979) is an American actress.",control
wiki_80,"Llewelyn Sherman Adams (January 8, 1899 – October 27, 1986) was a politician in the United States.",,"Llewelyn Sherman Adams (January 8, 1899 – October 27, 1986) was a politician in the United States.",control
wiki_81,"From 4 to 6 January 2022, over 200 people were killed by bandits in Zamfara State, Nigeria.",,"From 4 to 6 January 2022, over 200 people were killed by bandits in Zamfara State, Nigeria.",control
wiki_82,"Toothpaste is a part liquid paste, applied to the bristles of a toothbrush in order to aid oneself with the act of toothbrushing.

This substance has several purposes, such as removing plaque from one's teeth, whitening one's teeth and freshening one's breath.

Several toothpaste brands specialize in caring for teeth sensitive to certain conditions (for example heat, cold) or flavours (such as sweetness).",,"Toothpaste is a part liquid paste, applied to the bristles of a toothbrush in order to aid oneself with the act of toothbrushing.

This substance has several purposes, such as removing plaque from one's teeth, whitening one's teeth and freshening one's breath.

Several toothpaste brands specialize in caring for teeth sensitive to certain conditions (for example heat, cold) or flavours (such as sweetness).",control
wiki_83,The five elements is an idea in Taoism.,,The five elements is an idea in Taoism.,control
wiki_84,"Hadenfeld is a municipality of the district Steinburg, in Schleswig-Holstein, Germany.

Municipalities in Schleswig-Holstein
Steinburg (district).",,"Hadenfeld is a municipality of the district Steinburg, in Schleswig-Holstein, Germany.

Municipalities in Schleswig-Holstein
Steinburg (district).",control
wiki_85,"The Monument to the Unknown Soldier () is a monument in central Baghdad built by Italian architect, Marcello D'Olivo, based on a concept by Iraqi sculptor, Khaled al-Rahal.",,"The Monument to the Unknown Soldier () is a monument in central Baghdad built by Italian architect, Marcello D'Olivo, based on a concept by Iraqi sculptor, Khaled al-Rahal.",control
wiki_86,Martin Lundström (30 May 1918 – 30 June 2016) was a Swedish cross-country skier.,,Martin Lundström (30 May 1918 – 30 June 2016) was a Swedish cross-country skier.,control
wiki_87,Mansfield Park is the third novel by iconic English author Jane Austen.,,Mansfield Park is the third novel by iconic English author Jane Austen.,control
wiki_88,Matemale is a commune in the Pyrénées-Orientales department.,,Matemale is a commune in the Pyrénées-Orientales department.,control
wiki_89,Saint-Martin-de-Pallières is a commune of 247 people (2019).,,Saint-Martin-de-Pallières is a commune of 247 people (2019).,control
wiki_90,"William Franklin (1730 – November 1813) was an American soldier, attorney, and colonial administrator, the acknowledged illegitimate son of Benjamin Franklin.",,"William Franklin (1730 – November 1813) was an American soldier, attorney, and colonial administrator, the acknowledged illegitimate son of Benjamin Franklin.",control
wiki_91,Boyd County is a county in the U.S.,,Boyd County is a county in the U.S.,control
wiki_92,Renzo Bulgarello was a rower from Italy.,,Renzo Bulgarello was a rower from Italy.,control
wiki_93,Saint-Aubin-des-Ormeaux is a commune.,,Saint-Aubin-des-Ormeaux is a commune.,control
wiki_94,Dendropsophus luddeckei is a frog that lives in Colombia.,,Dendropsophus luddeckei is a frog that lives in Colombia.,control
wiki_95,"The Grand Bazaar (, meaning ‘Grand Bazaar’) in Istanbul, Turkey is one of the largest and oldest covered markets in the world.",,"The Grand Bazaar (, meaning ‘Grand Bazaar’) in Istanbul, Turkey is one of the largest and oldest covered markets in the world.",control
wiki_96,Édouard Frank (born 5 April 1934) is a Central African lawyer and politician.,,Édouard Frank (born 5 April 1934) is a Central African lawyer and politician.,control
wiki_97,A cable car is a type of car that runs on cables above the car.,,A cable car is a type of car that runs on cables above the car.,control
wiki_98,Pairi Daiza (before Paradisio) is a private-owned property that has 55 hectares.,,Pairi Daiza (before Paradisio) is a private-owned property that has 55 hectares.,control
wiki_99,"Line 4, currently known as Trinitat Nova – La Pau, usually called ""línia groga"" (yellow line), is a line in the Barcelona Metro network operated by TMB.

Chronology

1973 – Joanic-Jaume I section opened (part of it had been part of L3 previously)
1974 – Joanic-Guinardó section opened
1976 – Jaume I-Barceloneta section opened
1977 – Barceloneta-Selva de Mar section opened
1982 – Guinardó-Via Júlia and Selva de Mar-La Pau sections opened.
1985 – La Pau-Pep Ventura section opened
1999 – Via Júlia-Trinitat Nova section opened.
2002 – La Pau-Pep Ventura section closed (and moved to L2)
2003 – El Maresme-Fòrum station opened.

Technical details

 Colour on map: Yellow
 Number of stations: 22
 Type: Conventional metro
 Length: 
 Rolling stock: 1100 and 2100 series
 Journey time: 27 minutes
 Track gauge: 
 Traction: Electricity
 Power supply: Rigid overhead wire
 Open-air sections: No
 Mobile phone coverage: Partial
 Depots: Trinitat Nova, Verneda (Triangle Ferroviari)

Current stations

Stations or lines shown in italics are under construction.
 Trinitat Nova (L11)
 Via Júlia
 Llucmajor
 Maragall (L5)
 Guinardó – Hospital de Sant Pau (L9, L10)
 Alfons X
 Joanic
 Verdaguer (L5)
 Girona
 Passeig de Gràcia (L2, L3, RENFE)
 Urquinaona (L1)
 Jaume I
 Barceloneta
 Ciutadella-Vila Olímpica (T4)
 Bogatell
 Llacuna
 Poblenou
 Selva de Mar (T4)
 El Maresme-Fòrum (T4)
 Besòs Mar
 Besòs (T5)
 La Pau (L2)
 Santander (under construction)
 Sagrera-Tav (under construction) (L9, L10)
 Sagrera-Meridiana (under construction) (L1 L5, L9, L10)

References
Trenscat

4.",,"Line 4, currently known as Trinitat Nova – La Pau, usually called ""línia groga"" (yellow line), is a line in the Barcelona Metro network operated by TMB.

Chronology

1973 – Joanic-Jaume I section opened (part of it had been part of L3 previously)
1974 – Joanic-Guinardó section opened
1976 – Jaume I-Barceloneta section opened
1977 – Barceloneta-Selva de Mar section opened
1982 – Guinardó-Via Júlia and Selva de Mar-La Pau sections opened.
1985 – La Pau-Pep Ventura section opened
1999 – Via Júlia-Trinitat Nova section opened.
2002 – La Pau-Pep Ventura section closed (and moved to L2)
2003 – El Maresme-Fòrum station opened.

Technical details

 Colour on map: Yellow
 Number of stations: 22
 Type: Conventional metro
 Length: 
 Rolling stock: 1100 and 2100 series
 Journey time: 27 minutes
 Track gauge: 
 Traction: Electricity
 Power supply: Rigid overhead wire
 Open-air sections: No
 Mobile phone coverage: Partial
 Depots: Trinitat Nova, Verneda (Triangle Ferroviari)

Current stations

Stations or lines shown in italics are under construction.
 Trinitat Nova (L11)
 Via Júlia
 Llucmajor
 Maragall (L5)
 Guinardó – Hospital de Sant Pau (L9, L10)
 Alfons X
 Joanic
 Verdaguer (L5)
 Girona
 Passeig de Gràcia (L2, L3, RENFE)
 Urquinaona (L1)
 Jaume I
 Barceloneta
 Ciutadella-Vila Olímpica (T4)
 Bogatell
 Llacuna
 Poblenou
 Selva de Mar (T4)
 El Maresme-Fòrum (T4)
 Besòs Mar
 Besòs (T5)
 La Pau (L2)
 Santander (under construction)
 Sagrera-Tav (under construction) (L9, L10)
 Sagrera-Meridiana (under construction) (L1 L5, L9, L10)

References
Trenscat

4.",control
wiki_100,Sehore District is a district of Madhya Pradesh state in central India.,,Sehore District is a district of Madhya Pradesh state in central India.,control
wiki_101,NHS England manages the National Health Service in England.,,NHS England manages the National Health Service in England.,control
wiki_102,Holly Robinson is a fictional Batman character who is friends with Selina Kyle.,,Holly Robinson is a fictional Batman character who is friends with Selina Kyle.,control
wiki_103,WWE SmackDown! Here Comes the Pain is a professional wrestling video game developed by Yuke's and published by THQ.,,WWE SmackDown! Here Comes the Pain is a professional wrestling video game developed by Yuke's and published by THQ.,control
wiki_104,The Hassan II Mosque () is in Casablanca.,,The Hassan II Mosque () is in Casablanca.,control
wiki_105,A Docudrama or Documentrary drama is a  genre used for televisionon and movies.,,A Docudrama or Documentrary drama is a  genre used for televisionon and movies.,control
wiki_106,Stand by Me Doraemon is a 2014 Japanese 3D animated movie.,,Stand by Me Doraemon is a 2014 Japanese 3D animated movie.,control
